988,988.mp3,Bluebrain,ThePull,0.12,0.57,Rock,evaluation,988,5.4,1.2649,5.9,1.5951,0.55,0.6125,0.1581125,0.1993875
989,989.mp3,Vespre,pistequatre,3.39,4.24,Rock,development,989,6.3,2.1108,6.4,1.6465,0.6625,0.675,0.26385,0.2058125
990,990.mp3,JeniferAvila,ElTranvía,1.12,1.57,Rock,development,990,6,1.6997,6.1,1.5951,0.625,0.6375,0.2124625,0.1993875
991,991.mp3,Moore&Sons,MovingAway,0.28,1.13,Rock,development,991,3.1,1.3703,3.5,1.5811,0.2625,0.3125,0.1712875,0.1976375
993,993.mp3,HoganGrip,StanceGivesYouPower,0.01,0.46,Rock,development,993,4.4,1.2649,3.8,1.2293,0.425,0.35,0.1581125,0.1536625
994,994.mp3,MorphamishremixesFullBlush,Engine#3(MorphamishRemix),3.49,4.34,Rock,development,994,6.6,1.8379,5.3,1.6364,0.7,0.5375,0.2297375,0.20455
995,995.mp3,BenjaminBret,HonteDeToi,1.08,1.53,Rock,development,995,4.7,1.3375,2.4,0.96609,0.4625,0.175,0.1671875,0.12076125
996,996.mp3,Jahzzar,Fireworks,0.17,1.02,Rock,development,996,6,1.6997,6.7,1.767,0.625,0.7125,0.2124625,0.220875
997,997.mp3,Halloween,MonsterOnCampus,0.28,1.13,Rock,development,997,6.4,2.2211,6.7,1.767,0.675,0.7125,0.2776375,0.220875
999,999.mp3,Jahzzar,SoEasy,0.51,1.36,Rock,development,999,4.1,2.4244,5.9,1.6633,0.3875,0.6125,0.30305,0.2079125
1000,1000.mp3,RepublicOfLights-GotYouSurrounded,Single,0.42,1.27,Rock,evaluation,1000,7.2222,1.0929,5.8889,2.0883,0.777775,0.6111125,0.1366125,0.2610375
